2025-01-12 03:51:16,893 - aiokafka.consumer.subscription_state - INFO - Updating subscribed topics to: frozenset({'my-topic'})
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Discovered coordinator 1 for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - Revoking previously assigned partitions set() for group my-group-test-1
2025-01-12 03:51:16,973 - aiokafka.consumer.group_coordinator - INFO - (Re-)joining group my-group-test-1
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Joined group 'my-group-test-1' (generation 13) with member_id aiokafka-0.12.0-b2563333-e016-42fc-b248-042e03d331f3
2025-01-12 03:51:16,991 - aiokafka.consumer.group_coordinator - INFO - Elected group leader -- performing partition assignments using roundrobin
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Successfully synced group my-group-test-1 with generation 13
2025-01-12 03:51:17,002 - aiokafka.consumer.group_coordinator - INFO - Setting newly assigned partitions {TopicPartition(topic='my-topic', partition=0)} for group my-group-test-1
2025-01-12 03:56:15,433 - root - INFO - get: Это цифра 1728, 03:56:15.433423
2025-01-12 03:56:17,436 - root - INFO - get: Это цифра 1729, 03:56:17.436461
2025-01-12 03:56:19,441 - root - INFO - get: Это цифра 1730, 03:56:19.441857
2025-01-12 03:56:21,450 - root - INFO - get: Это цифра 1731, 03:56:21.450186
2025-01-12 03:56:23,461 - root - INFO - get: Это цифра 1732, 03:56:23.461071
2025-01-12 03:56:25,464 - root - INFO - get: Это цифра 1733, 03:56:25.464426
2025-01-12 03:56:27,467 - root - INFO - get: Это цифра 1734, 03:56:27.467853
2025-01-12 03:56:29,480 - root - INFO - get: Это цифра 1735, 03:56:29.480212
2025-01-12 03:56:31,483 - root - INFO - get: Это цифра 1736, 03:56:31.482945
2025-01-12 03:56:33,490 - root - INFO - get: Это цифра 1737, 03:56:33.490423
2025-01-12 03:56:35,500 - root - INFO - get: Это цифра 1738, 03:56:35.500346
2025-01-12 03:56:37,504 - root - INFO - get: Это цифра 1739, 03:56:37.504812
2025-01-12 03:56:39,514 - root - INFO - get: Это цифра 1740, 03:56:39.513947
2025-01-12 03:56:41,520 - root - INFO - get: Это цифра 1741, 03:56:41.519891
2025-01-12 03:56:43,527 - root - INFO - get: Это цифра 1742, 03:56:43.527684
2025-01-12 03:56:45,534 - root - INFO - get: Это цифра 1743, 03:56:45.533916
2025-01-12 03:56:47,537 - root - INFO - get: Это цифра 1744, 03:56:47.537458
2025-01-12 03:56:49,542 - root - INFO - get: Это цифра 1745, 03:56:49.542352
2025-01-12 03:56:51,549 - root - INFO - get: Это цифра 1746, 03:56:51.549567
2025-01-12 03:56:53,559 - root - INFO - get: Это цифра 1747, 03:56:53.559509
